ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07B9RRGPR,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Medium)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"514,793",10,66,1,Ailaka,4.1,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9VB2T2,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Medium)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"395,849",160,68,1,Ailaka,4.3,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9TQB6D,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Medium)",Ailaka,Health & Household,$0,0,$16.99,$4.96,12.03,"445,213",75,73,1,Ailaka,4.3,"""9.65"" x ""6.46"" x ""0.71""",Standard (Small),0.21
B07B9YKKDZ,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, Small)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"763,339",3,71,1,Ailaka,4.6,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07B9VH2HM,"Ailaka 20-30 mmHg Knee High Open Toe Compression Calf Socks for Women and Men, Firm Support Graduated Varicose Veins Hosiery, Travel, Nurses, Pregnancy, Recovery (Black, X-Large)",Ailaka,Health & Household,$0,0,$15.99,$4.81,11.18,"436,473",21,71,1,Ailaka,4.6,"""5"" x ""3"" x ""0.5""",Standard (Small),0.2
B07DGPKQYW,"Ailaka Athlete Gel Cushion Neutral Arch Sports Shoe Insoles, Performance Running Inserts for Man & Women",Ailaka,"Clothing, Shoes & Jewelry",$389.7,30,$12.99,$5.14,7.85,"400,825",35,64,1,Ailaka,4.4,"""2.0866"" x ""5.1575"" x ""13.4252""",Standard (Large),0.3616
B07DGSHGFJ,"Ailaka Athlete Gel Cushion Neutral Arch Sports Shoe Insoles, Performance Running Inserts for Man & Women",Ailaka,"Clothing, Shoes & Jewelry",$1429.2,120,$11.91,$4.98,6.93,"133,827",30,69,1,Ailaka,4.4,"""1.3386"" x ""5.0787"" x ""14.1339""",Standard (Large),0.3153
B073PPSVMR,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$629.7,30,$20.99,$6.34,14.65,"123,921",133,73,1,Ailaka,3.9,"""8.7"" x ""7.01"" x ""0.98""",Standard (Large),0.27
B073PPGMC9,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"509,150",302,68,1,Ailaka,4,"""8.39"" x ""6.18"" x ""0.98""",Standard (Large),0.26
B073PPSXB7,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"540,592",302,63,1,Ailaka,4,"""8.82"" x ""6.18"" x ""0.98""",Standard (Large),0.28
B073PPWGVS,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"376,842",302,68,1,Ailaka,4,"""8.58"" x ""6.18"" x ""1.1""",Standard (Large),0.3
B073PPX3TT,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"307,256",151,68,1,Ailaka,3.9,"""8.82"" x ""6.42"" x ""0.98""",Standard (Large),0.34
B073PPPS3X,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"352,830",298,68,1,Ailaka,4,"""8.58"" x ""6.1"" x ""1.18""",Standard (Large),0.28
B073PPWJ11,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$20.99,$6.34,14.65,"236,162",133,73,1,Ailaka,3.9,"""8.58"" x ""6.18"" x ""1.1""",Standard (Large),0.29
B076Q93XY5,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"613,119",302,68,1,Ailaka,4,"""9.49"" x ""6.34"" x ""1.18""",Standard (Large),0.34
B073PQB96B,"Ailaka Closed Toe Thigh High 20-30 mmHg Compression Stockings for Women & Men, Firm Support Graduated Varicose Veins Socks, Travel, Casual-Formal Hosiery",Ailaka,Health & Household,$0,0,$22.9,$6.63,16.27,"425,787",300,68,1,Ailaka,4,"""8.82"" x ""6.18"" x ""0.98""",Standard (Large),0.32
B072QWN34K,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$11067.48,852,$12.99,$5.14,7.85,"33,197",64,72,1,Ailaka,4.2,"""11.22"" x ""4.25"" x ""1.85""",Standard (Large),0.61
B071K5VFSS,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$12080.7,930,$12.99,$5.14,7.85,"21,986",120,72,1,Ailaka,4.2,"""10.91"" x ""3.35"" x ""1.54""",Standard (Large),0.44
B07XXX68RQ,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$19636.9,1310,$14.99,N.A.,N.A.,"11,680",262,67,1,Ailaka,4.1,"""1.063"" x ""3.8189"" x ""11.1811""",,0.4057
B071X3ZRSY,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$19786.8,1320,$14.99,$5.44,9.55,"14,283",260,67,1,Ailaka,4.1,"""10"" x ""3.5"" x ""1""",Standard (Large),0.55
B0721JZLD1,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$11691,900,$12.99,$5.14,7.85,"22,940",64,72,1,Ailaka,4.2,"""11.18"" x ""3.82"" x ""1.06""",Standard (Large),0.41
B07XXWWJRD,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$15198.3,1170,$12.99,N.A.,N.A.,"16,644",251,67,1,Ailaka,4.2,N.A.,,
B072QWMKPN,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$17133.57,1143,$14.99,$5.44,9.55,"15,639",263,67,1,Ailaka,4.1,"""10"" x ""3.5"" x ""1""",Standard (Large),0.55
B071X3ZBST,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$19485,1500,$12.99,$5.14,7.85,"12,160",130,72,1,Ailaka,4,"""10.39"" x ""4.17"" x ""1.22""",Standard (Large),0.33
B07XM6QXXQ,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$15739.5,1050,$14.99,$4.66,10.33,"16,684",262,67,1,Ailaka,4.1,"""0.7008"" x ""4"" x ""10.9016""",Standard (Small),0.4409
B07XXXQG8J,"Ailaka Elastic Shock Absorbing Height Increasing Sports Shoe Insoles, Soft Breathable Honeycomb Orthotic Replacement Inserts for Men & Women",Ailaka,"Clothing, Shoes & Jewelry",$15289.8,1020,$14.99,$4.66,10.33,"13,769",262,67,1,Ailaka,4.1,"""0.7008"" x ""4"" x ""10.9016""",Standard (Small),0.4409
B07DF72CZR,"Ailaka High Arch Support Cushion Shoe Insoles for Men & Women, Performance Orthotic Inserts for Flat Foot, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$329.7,30,$10.99,$4.84,6.15,"165,591",38,71,1,Ailaka,3.6,"""2.2835"" x ""4.5276"" x ""13.2283""",Standard (Large),0.1786
B07DFD964J,"Ailaka High Arch Support Cushion Shoe Insoles for Men & Women, Performance Orthotic Inserts for Flat Foot, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$219.8,20,$10.99,$4.84,6.15,"268,620",38,71,1,Ailaka,3.6,"""1.8504"" x ""5.2756"" x ""14.3307""",Standard (Large),0.1543
B07MV6736X,"Ailaka Kids Orthotic Athletic Elastic Shock Absorbing Insoles, Comfortable Arch Support Sports Inserts for Running Walking",Ailaka,Health & Household,$0,0,$11.99,N.A.,N.A.,"560,767",22,66,1,Ailaka,4.4,"""1.1811"" x ""3.9764"" x ""9.4094""",,0.1786
B07MV58N7Y,"Ailaka Kids Orthotic Athletic Elastic Shock Absorbing Insoles, Comfortable Arch Support Sports Inserts for Running Walking",Ailaka,Health & Household,$0,0,$11.99,$4.99,7,"262,400",23,66,1,Ailaka,4.4,"""1.1811"" x ""4.0551"" x ""9.3701""",Standard (Large),0.2315
B07MV65RZV,"Ailaka Kids Orthotic Athletic Elastic Shock Absorbing Insoles, Comfortable Arch Support Sports Inserts for Running Walking",Ailaka,Health & Household,$0,0,$11.99,$4.99,7,"267,482",23,66,1,Ailaka,4.4,"""1.1811"" x ""3.937"" x ""9.4488""",Standard (Large),0.1984
B0832QZ7KV,"Ailaka Kids Orthotic Athletic Elastic Shock Absorbing Insoles, Comfortable Arch Support Sports Inserts for Running Walking",Ailaka,Health & Household,$0,0,$11.99,N.A.,N.A.,"824,013",23,66,1,Ailaka,4.4,N.A.,,
B07DFDPVTX,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children EVA Foam Inserts for Flat Feet, Plantar Fasciitis",Ailaka,Health & Household,$164.85,15,$10.99,$4.84,6.15,"272,262",17,70,1,Ailaka,4,"""1.3"" x ""4"" x ""11.3""",Standard (Large),0.1499
B07DFF6D2J,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children EVA Foam Inserts for Flat Feet, Plantar Fasciitis",Ailaka,Health & Household,$329.7,30,$10.99,$4.84,6.15,"201,642",17,70,1,Ailaka,4,"""1.3"" x ""4"" x ""11.3""",Standard (Large),0.1499
B07DFHPX13,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children EVA Foam Inserts for Flat Feet, Plantar Fasciitis",Ailaka,Health & Household,$0,0,$10.99,$4.84,6.15,"234,842",68,65,1,Ailaka,4.3,"""1.3"" x ""4"" x ""11.3""",Standard (Large),0.1499
B07DF3TY1L,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children EVA Foam Inserts for Flat Feet, Plantar Fasciitis",Ailaka,Health & Household,$0,0,$10.99,$4.84,6.15,"330,748",68,65,1,Ailaka,4.3,"""1.3"" x ""4"" x ""11.3""",Standard (Large),0.1499
B07MV14161,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$14.99,N.A.,N.A.,"227,959",20,66,1,Ailaka,4.3,N.A.,,
B07TWBZD78,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$19.99,$6.19,13.8,"460,232",133,67,1,Ailaka,4.5,"""1.6496"" x ""4.0512"" x ""7.7008""",Standard (Large),0.2205
B07MV52ZXB,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$14.99,$5.44,9.55,"247,291",2,66,1,Ailaka,4.5,"""1.2598"" x ""3.937"" x ""9.4488""",Standard (Large),0.205
B07TVBK76D,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$19.99,$6.19,13.8,"545,230",133,67,1,Ailaka,4.5,"""1.4"" x ""3.9"" x ""7.6""",Standard (Large),0.2491
B07TWDPW5S,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$299.85,15,$19.99,$6.19,13.8,"289,107",133,67,1,Ailaka,4.5,"""1.5"" x ""4"" x ""9.5""",Standard (Large),0.2998
B07MV53TZ4,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$14.99,$5.44,9.55,"298,352",2,66,1,Ailaka,3,"""1.3386"" x ""3.937"" x ""9.4094""",Standard (Large),0.1874
B07MV2YFTR,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$19.99,$6.19,13.8,"289,268",133,67,2,Ailaka,4.5,"""1.2992"" x ""3.9764"" x ""9.4094""",Standard (Large),0.183
B07MV6QQ6K,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$10.99,N.A.,N.A.,"251,317",34,66,1,Ailaka,4.4,"""1.2205"" x ""4.1732"" x ""9.4488""",,0.1676
B07MV3WQBV,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$299.85,15,$19.99,$6.19,13.8,"226,298",133,67,1,Ailaka,4.5,"""1.2205"" x ""3.9764"" x ""9.4882""",Standard (Large),0.2513
B07TT9XNSV,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$19.99,$6.19,13.8,"421,852",133,67,1,Ailaka,4.5,"""1.4"" x ""4"" x ""10""",Standard (Large),0.4497
B07MV53HVN,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$10.99,N.A.,N.A.,"492,242",31,66,1,Ailaka,4.4,N.A.,,
B07MV3QSCG,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$14.99,$5.44,9.55,"229,648",7,66,1,Ailaka,4.5,"""1.4173"" x ""4.0157"" x ""9.4488""",Standard (Large),0.269
B07MV52PD8,"Ailaka Kids Orthotic Cushioning Arch Support Shoe Insoles, Children Pu Foam Inserts for Flat Feet, Plantar Fasciitis, Feet Heel Pain Relief",Ailaka,Health & Household,$0,0,$10.99,N.A.,N.A.,"448,044",33,66,1,Ailaka,4.4,"""1.2598"" x ""3.9764"" x ""9.4488""",,0.194
B078VR2SRV,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$9.41,$3.82,5.59,"459,063",5,75,1,Ailaka,4,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VRT55F,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$8.99,$3.76,5.23,"699,375",56,70,1,Ailaka,4.2,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VSDVWP,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$9.99,$3.91,6.08,"531,582",6,75,1,Ailaka,3.6,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VSLZ75,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$8.99,$3.76,5.23,"1,002,268",56,70,1,Ailaka,4.2,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VRKVK4,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$8.99,$3.76,5.23,"901,700",56,60,1,Ailaka,4.2,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VR5PYZ,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$8.99,$3.76,5.23,"890,367",56,70,1,Ailaka,4.2,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VQCX47,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$9.99,$3.91,6.08,"482,281",6,75,1,Ailaka,3.6,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VRL7RK,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$9.99,$3.91,6.08,"661,566",6,75,1,Ailaka,3.6,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078VQS6M2,"Ailaka Medical 20-30 mmHg Plantar Fasciitis Socks for Men & Women, Heel Arch Ankle Support Compression Foot Sleeves, Great Foot Care for Pain Relief, Swelling, Nurses, Maternity, Pregnancy, Running",Ailaka,Health & Household,$0,0,$9.99,$3.91,6.08,"604,056",6,75,1,Ailaka,3.6,"""7.87"" x ""3.94"" x ""0.39""",Standard (Small),0.11
B078V6SF4T,Ailaka Medical Zipper Compression Calf Socks 15-20 mmHg for Women and Men,Ailaka,"Clothing, Shoes & Jewelry",$2338.2,180,$12.99,$5.14,7.85,"103,019",122,65,1,Ailaka,4,"""7.09"" x ""4.72"" x ""0.79""",Standard (Large),0.26
B078V6YY8B,Ailaka Medical Zipper Compression Calf Socks 15-20 mmHg for Women and Men,Ailaka,Health & Household,$3735.33,267,$13.99,$5.29,8.7,"101,880",45,60,1,Ailaka,4.2,"""7.09"" x ""4.72"" x ""0.79""",Standard (Large),0.26
B078V742GK,Ailaka Medical Zipper Compression Calf Socks 15-20 mmHg for Women and Men,Ailaka,Health & Household,$909.35,65,$13.99,$5.29,8.7,"153,459",97,60,1,Ailaka,4.2,"""7.09"" x ""4.72"" x ""0.79""",Standard (Large),0.26
B078V6T8HD,Ailaka Medical Zipper Compression Calf Socks 15-20 mmHg for Women and Men,Ailaka,"Clothing, Shoes & Jewelry",$4000.92,308,$12.99,$5.14,7.85,"65,688",122,65,1,Ailaka,4,"""7.09"" x ""4.72"" x ""0.79""",Standard (Large),0.26
