,商品名,价格,详情链接,图片,总销量,评价数,上市时间,产品名称,功能,品牌,图案,尺码,插片,搭扣排数,文胸款式,文胸系列,文胸风格,是否商场同款,月销量,有无钢圈,服装款式细节,模杯面料,款号,罩杯厚度,罩杯款式,罩杯里料,罩杯里料成分含量,肩带样式,适用季节,适用对象,面料俗称,颜色分类,侧翼里料,侧翼面料,内裤尺码,文胸功能,文胸外型设计,罩杯里料材质成分,罩杯面料,裆部材质成分,销售渠道类型,内裤款式,腰型
19,Triumph/黛安芬内衣小胸聚拢文胸可拆卸肩带蕾丝性感胸罩E001206,199.00,https://detail.tmall.com/item.htm?id=527264255463&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN0157Rfj921wwjewlZ0A_!!0-item_pic.jpg,,99,2016年春季,Triumph/黛安芬E001206,聚拢,Triumph/黛安芬,植物花卉,70A70B70C75A75B75C80A80B80C85A85B,棉垫,后双排搭扣,U型,花漾晶灵,性感,是,806,有钢圈,蕾丝边,其他,E001206,上薄下厚模杯,3/4,棉,21%(含)-40%(含),可拆卸双肩带,春季,青年女性,其他,紫灰色-Z9深肤色-T5,,,,,,,,,,,
20,Triumph/黛安芬内衣女小胸聚拢文胸带钢圈舒适集中型文胸H16-218,149.00,https://detail.tmall.com/item.htm?id=16609543346&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwjgVfVj0d1b4_!!0-item_pic.jpg,,5077,2010年以前,Triumph/黛安芬H16-218,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C,棉垫,混合搭扣,U型,经典系列,简约,是,712,有钢圈,光面,其他,H16-218,上薄下厚模杯,3/4,棉,95%以上,固定双肩带,夏季,青年女性,棉质面料,红色-IX肤色-BW紫色-JB黑色-04,,,,,,,,,,,
21,Triumph/黛安芬经典内衣套装性感聚拢小胸集中型文胸套装H16-218,258.00,https://detail.tmall.com/item.htm?id=539384906794&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i1/929347050/O1CN0121wwjh5ciWUVb6X_!!0-item_pic.jpg,,129,2010年以前,,,黛安芬,纯色,70A70B70C75A75B75C80A80B80C,棉垫,混合搭扣,,,简约,,2694,有钢圈,光面,其他,H16-218NYZHYS,上薄下厚模杯,3/4,棉,95%以上,固定双肩带,夏季,青年女性,其他,黑色/04+红色/IX肤色/BW+红色/IXBW+BW-肤色+肤色BW/肤色+JB/紫色BW/肤色+04/黑色JB/紫色+04/黑色,锦纶,锦纶,,聚拢,U型,棉100%,其他,其他100%,商场同款(线上线下都销售),,
22,Triumph/黛安芬魔力塑撑小胸聚拢文胸轻丰舒适无痕内衣女11-1562,179.00,https://detail.tmall.com/item.htm?id=564761637769&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN01u0VTRW21wwlpIVabH_!!0-item_pic.jpg,,89,2018年春季,Triumph/黛安芬11-1562,无痕,Triumph/黛安芬,纯色,70B70C75A75B75C80A80B80C85A85B,无插片,后双排搭扣,T型,魔力塑撑,简约,是,569,无钢圈,光面,其他,11-1562,上薄下厚模杯,3/4,聚酯纤维,95%以上,固定双肩带,夏季,青年女性,其他,黑色-04白色-GZ肤色-EP灰蓝色-AY,,,,,,,,,,,
23,Triumph/黛安芬性感蕾丝内衣女薄款无钢圈舒适聚拢型文胸11-1602,259.00,https://detail.tmall.com/item.htm?id=574525269384&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01VzLIM821wwlSBLlQ5_!!0-item_pic.jpg,,129,2018年秋季,Triumph/黛安芬11-1602,聚拢,Triumph/黛安芬,纯色,70B70C70D75B75C75D80B80C80D,无插片,后双排搭扣,T型,GPP,性感,是,550,无钢圈,蕾丝边,其他,11-1602,薄杯,3/4,锦纶,100%,可拆卸双肩带,秋季,青年女性,蕾丝面料,梅紫色-3M灰蓝色-AY墨绿色-Z4红色-42米黄色-38肤色-EP,,,,,,,,,,,
24,Triumph/黛安芬无钢圈内衣女小胸聚拢舒适集中型无痕文胸E002525,199.00,https://detail.tmall.com/item.htm?id=568372084082&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01Zqv4D421wwlXwyxv8_!!0-item_pic.jpg,,99,2018年春季,Triumph/黛安芬E002525,无痕,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C85A85B85C,无插片,后三排搭扣,T型,GPP,简约,是,2536,无钢圈,光面,其他,E002525,上薄下厚模杯,3/4,聚酯纤维,100%,固定双肩带,春季,青年女性,聚酯纤维,黑色-04淡蓝色-6F粉色-GJ肉粉色-VV浅棕色-20藏蓝色-DW珊瑚色-6W灰紫色-9J,,,,,,,,,,,
25,Triumph/黛安芬无痕内衣薄款稳定承托收副乳舒适大胸文胸E001991,199.00,https://detail.tmall.com/item.htm?id=539374123334&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN0121wwjKgf2aIOitA_!!0-item_pic.jpg,,99,2016年夏季,Triumph/黛安芬E001991Y...,上托,Triumph/黛安芬,纯色,75B75C75D80B80C80D85B85C,无插片,后三排搭扣,U型,心莹清雅,简约,是,573,有钢圈,光面,其他,E001991YS,薄棉杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,夏季,青年女性,其他,黑色-EE粉色-XL,,,,,,,,,,,
26,【正式】Triumph/黛安芬蕾丝性感内衣女聚拢集中文胸套装E001879,258.00,https://detail.tmall.com/item.htm?id=559186264152&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/TB1uI4VrUR1BeNjy0FmXXb0wVXa_!!0-item_pic.jpg,,129,2016年春季,,,黛安芬,植物花卉,70A+M70B+M70C+M75A+L75B+L75C+L80A+EL80B+EL80C+EL85A+EL85B+EL,棉垫,后三排搭扣,,,简约,,360,有钢圈,蕾丝边,其他,E001879TZYS,上薄下厚模杯,3/4,棉,21%(含)-40%(含),可拆卸双肩带,夏季,青年女性,其他,粉红色-XL黑色-04肤色-NZ,锦纶,其他,MLXL,聚拢,U型,聚酯纤维65%棉35%,其他,聚酯纤维65%棉35%,商场同款(线上线下都销售),三角裤,低腰
27,Triumph/黛安芬旗下ESSENCE性感蕾丝水袋杯小胸聚拢型文胸16-8090,299.00,https://detail.tmall.com/item.htm?id=566455020312&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwj4Ho8z2To3n_!!2-item_pic.png,,281,2018年春季,Triumph/黛安芬16-8090,聚拢,Triumph/黛安芬,植物花卉,70B70C75A75B75C80A80B80C85A,无插片,后双排搭扣,T型,,奢华,是,261,有钢圈,蕾丝边,,16-8090,上薄下厚模杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,,青年女性,,藏蓝色-WD嫩绿色-G5深紫色-V9,,,,,,,,,,,
28,Triumph/黛安芬文胸蕾丝舒适水袋杯小胸聚拢集中性感内衣16-8168,229.00,https://detail.tmall.com/item.htm?id=563053602343&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i3/929347050/O1CN0121wwj4Xl3MCHBMk_!!0-item_pic.jpg,,114,2017年冬季,Triumph/黛安芬16-8168,聚拢,Triumph/黛安芬,纯色,70A70B70C75A75B75C80A80B80C,水袋,混合搭扣,T型,水盈繁花,简约,是,686,有钢圈,蕾丝边,其他,16-8168,上薄下厚模杯,3/4,锦纶,100%,固定双肩带,夏季,青年女性,其他,粉色-EZ灰黑色-DK紫色-6P梅紫色-3M米黄色-38,,,,,,,,,,,
29,Triumph/黛安芬内衣女经典薄款胸罩大胸支撑性感蕾丝文胸H16-226,149.00,https://detail.tmall.com/item.htm?id=15619125079&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i2/929347050/O1CN01vsBIkE21wwjgoG9gY_!!0-item_pic.jpg,,74,2010年以前,Triumph/黛安芬H16-226,上托,Triumph/黛安芬,植物花卉,70B75B75C75D80B80C80D85B85C85D,无插片,混合搭扣,T型,经典系列,简约,是,515,有钢圈,提花,其他,H16-226,薄模杯,3/4,锦纶,95%以上,固定双肩带,夏季,青年女性,蕾丝面料,肤色-NZ紫色-UX,,,,,,,,,,,
30,Triumph/黛安芬性感蕾丝内衣女柔软收副乳大胸支撑型文胸16-8296,199.00,https://detail.tmall.com/item.htm?id=572952797492&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/O1CN01P4xQLe21wwlQCtVMT_!!0-item_pic.jpg,,1795,2018年秋季,Triumph/黛安芬16-8296,上托,Triumph/黛安芬,植物花卉,75B75C75D80B80C80D85B85C85D,棉垫,后三排搭扣,U型,SimplyNaturalBeauty,性感,是,449,有钢圈,蕾丝边,锦纶,16-8296,上薄下厚模杯,3/4,聚酯纤维,61%(含)-80%(含),固定双肩带,秋季,青年女性,蕾丝面料,DK-灰黑色BC-粉色WG-深蓝色NZ-肤色RX-紫红色,,,,,,,,,,,
31,Triumph/黛安芬记忆枕立体蕾丝内衣女小胸集中聚拢型文胸16-6000,229.00,https://detail.tmall.com/item.htm?id=41882315634&rn=208153d2e93b16f2fdd1e932b120a194&abbucket=8,https://img.alicdn.com/bao/uploaded/i4/929347050/TB1vBlPsVuWBuNjSszbXXcS7FXa_!!0-item_pic.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
